T,Tbar,period,sigma,Resistance,FoldChange
120,60,38,0.8400000000000004,0.7999831428867515,0.405942893631237
118,60,38,0.8400000000000004,0.801437712699724,0.41514397438422523
116,60,38,0.8400000000000004,0.8029229958731499,0.4247365779638212
114,60,38,0.8400000000000004,0.8044400357687687,0.4347447142486667
112,60,38,0.8400000000000004,0.8059899245365814,0.4451943069485313
110,60,38,0.8400000000000004,0.8075738060194794,0.4561134111570863
108,60,38,0.8400000000000004,0.8091928788644503,0.46753239851998385
106,60,38,0.8400000000000004,0.810848399861783,0.47948425443839005
104,60,38,0.8400000000000004,0.8125416875045184,0.49200452040779763
102,60,38,0.8400000000000004,0.8142741258677686,0.5051324287901008
100,60,38,0.8400000000000004,0.8160471686897799,0.5189102367807624
98,60,38,0.8400000000000004,0.8178623438216394,0.5333841239134631
96,60,38,0.8300000000000004,0.8164390539058548,0.5485971684666991
94,60,38,0.8300000000000004,0.8183723188359029,0.564605904989797
92,60,38,0.8300000000000004,0.8203534166503125,0.5814760980975692
90,60,38,0.8300000000000004,0.8223842484663361,0.5992743871792428
88,60,38,0.8300000000000004,0.8244668187254955,0.618074069955422
86,60,38,0.8300000000000004,0.826603242167773,0.6379560055696317
84,60,38,0.8300000000000004,0.8287957513326161,0.6590095819965802
82,60,38,0.8300000000000004,0.8310467046245379,0.681333832100987
80,60,38,0.8300000000000004,0.8333585949805677,0.7050387251990489
78,60,38,0.8300000000000004,0.8357340591763239,0.7302466660934175
76,60,38,0.8300000000000004,0.8381758878050185,0.7570942554042869
74,60,38,0.8300000000000004,0.8406870359605768,0.7857343043223682
72,60,38,0.8300000000000004,0.8432706346438237,0.8163382629216964
70,60,38,0.8300000000000004,0.8459300029037513,0.8490990341277103
68,60,29,0.8300000000000004,0.8072234329244226,0.8834693904204964
66,60,29,0.8300000000000004,0.8102200817584782,0.9200191455550094
64,60,29,0.8300000000000004,0.8133181380788778,0.959315188663825
62,60,29,0.8300000000000004,0.8165232299092562,1.001654039737877
60,60,29,0.8200000000000004,0.8171032270540614,1.0473610820268369
58,60,29,0.8200000000000004,0.8205831678657897,1.0968056519145972
56,60,16,0.8200000000000004,0.8112074992830797,1.1501454404840639
54,60,16,0.8200000000000004,0.8148577866757266,1.2067542143961099
52,60,16,0.8200000000000004,0.8186514734967215,1.2683975888264292
50,60,16,0.8200000000000004,0.8225979290111727,1.3357201314686957
48,60,16,0.8200000000000004,0.8267073897605881,1.4094750940494813
46,60,16,0.8200000000000004,0.830991062051937,1.4905474641340615
44,60,16,0.8200000000000004,0.8354612383388442,1.5799826850144585
42,60,16,0.8200000000000004,0.8401314292333066,1.679024013183262
40,60,16,0.8200000000000004,0.8450165128593999,1.7891584206632238
38,60,16,0.8200000000000004,0.850132903007193,1.9121779271930661
36,60,16,0.8100000000000004,0.8533443047813086,2.0502367868775733
34,60,16,0.8100000000000004,0.8590457958904173,2.205914982833987
32,60,16,0.8100000000000004,0.8650423169747861,2.3825810525253446
30,60,16,0.8100000000000004,0.8713588064369722,2.584331534261089
28,60,16,0.8100000000000004,0.8780228545783518,2.8163316579716087
26,60,16,0.8100000000000004,0.8850649151529185,3.085169047574506
24,60,16,0.8000000000000004,0.8907139327962333,3.3991673448937414
22,60,16,0.8000000000000004,0.8987127788174524,3.7695312788909194
20,60,16,0.8000000000000004,0.9072038848009204,4.211229236681399
18,60,7,0.8000000000000004,0.8784300111700838,4.74370407701344
16,60,7,0.7900000000000004,0.887396807047941,5.372307153636182
14,60,7,0.7900000000000004,0.8988180658461818,6.148153395617848
12,60,7,0.7900000000000004,0.9112661150139275,7.122977550062803
10,60,7,0.7800000000000004,0.9237865165115612,8.372730955062579
8,60,7,0.7800000000000004,0.9389533460122391,10.016069112899787
6,60,7,0.7700000000000004,0.9548754637510746,12.244947452169187
4,60,2,0.7600000000000003,0.9400559561645757,15.28388358240321
